artist,title,bpm,genre,year
Aerosmith,Sweet Emotion (Clean) (Extended),100.01,ROCK,
Aerosmith,Sweet Emotion (Redrum) (Clean) (Extended),100,ROCK,
Aerosmith,Walk This Way (Clean) (Single),108.89,ROCK,
afrika bambaataa,looking for the perfect beat,118.45,CLASSIC HOUSE,
Afro B vs. Kodak Black,Drogba (Joanna) vs. ZEZE (SpydaT.E.K Blend),100,HIP HOP TRAP TWERK,
Afrojack & David Guetta,Hero (Lyric Video) (Clean) (Extended) (HD),125,DANCE ELECTRONIC,
Age Of Love,The Age Of Love (Charlotte De Witte & Enrico Sangiuliano Remix) (Clean) (Extended) (1080),130,DANCE ELECTRONIC,
Age Of Love,The Age Of Love (Charlotte De Witte & Enrico Sangiuliano Remix) (Clean) (Extended) (HD),130,DANCE ELECTRONIC,
Agent Sasco,Sekkle & Cease (SE) (Dollar Edit),93.01,DANCEHALL REGGAE,
Agnes,Release Me (128 Bpm),128,DANCE ELECTRONIC,
Agnez Mo,Nanana (Radio Edit),82,HIP HOP,
Agnez Mo,Patience (Clean),84,HIP HOP,
Aiobahn & jeonghyeon,Worth It (Extended Mix),123,DANCE ELECTRONIC,
Aiobahn & jeonghyeon,Worth It (Instrumental),122.87,DANCE ELECTRONIC,
Aiobahn & jeonghyeon,Worth It (Radio Edit),122.96,DANCE ELECTRONIC,
Airwolf Paradise,Don't Hurt Me Baby (Clean) (Extended) (HD),128,DANCE ELECTRONIC,
AJR,Bang! (XMiX Edit),70,HIP HOP TRAP TWERK,
AKA AKA & Justin Credible,Andromeda (Clean) (Single),124.12,DANCE ELECTRONIC,
Akon,Bananza (Belly Dancer) (DJ Shaan Remix),124,DANCE ELECTRONIC,
Akon,Belly Dancer (DJ Shaan Extended Remix),124,DANCE ELECTRONIC,
Akon,Belly Dancer (DJ Shaan VIP Extended Mix),124,DANCE ELECTRONIC,
Akon,I Wanna Love You,100,HIP HOP 2000'S,
Akon,Smack That,119.01,HIP HOP 2000'S,
Akon feat. Eminem,Smack That,119,DIRTY SOUTH HIP HOP,
Akon ft John Mamann & Dawty Music,TT Freak (Clean) (Extended) (1080),123,HIP HOP,
Akon ft John Mamann & Dawty Music,TT Freak (Clean) (Extended) (HD),123,DANCE ELECTRONIC,
Akon ft Snoop,I Wanna love You,100,DIRTY SOUTH HIP HOP,
AkroSonix,Vintage (Original Mix),128,HOUSE ELECTRO,
Al Desnudo (Remix),Erre XI Ft. Arcangel & Franco El Gorilla,99.98,REGGAETON,
Alacranes Musical,A Cambio De Que (Intro Clean),76.1,DURANGENSE,
Alacranes Musical,A Cambio De Que (Quick Hit Clean),76.03,DURANGENSE,
Alacranes Musical,Besos De Fuego (DJ Zy Beats Remix) (Extended),79.12,DURANGENSE,
Alacranes Musical,Besos De Fuego (DJ Zy Beats Remix) (Short Edit),79,DURANGENSE,
Alacranes Musical,Dame Tu Amor (DJ DX) (Intro Clean),79.8,DURANGENSE,
Alacranes Musical,La Suerte Viene A Buscarme (DJ DX) (Intro Clean),80,DURANGENSE,
Alacranes Musical,Por Tu Amor (DJ DX) (Intro Clean),78.76,DURANGENSE,
Alacranes Musical,Si Te Vuelves A Enamorar (DJ DX) (Intro Clean),80.75,DURANGENSE,
